epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5409,1.54648,2.45888,1.82875,0.00322,0.97143,0.53575,0.20076,1.44191,3.07876,2.10229,0.00046,0.00046,0.00046
2,38.5705,1.39633,1.81379,1.65645,0.69968,0.48571,0.5958,0.2533,1.68972,2.90521,2.47454,0.000935347,0.000935347,0.000935347
3,57.5905,1.4638,1.79023,1.70247,0.68453,0.43571,0.5029,0.15554,2.15768,3.36375,4.1615,0.00140594,0.00140594,0.00140594
4,76.5995,1.54915,1.73636,1.71903,0.36735,0.45,0.35335,0.14263,1.84298,3.60958,2.83398,0.00187178,0.00187178,0.00187178
5,95.5444,1.53677,1.58957,1.71426,0.39916,0.32143,0.21394,0.07447,2.13156,3.16605,3.11087,0.0019604,0.0019604,0.0019604
6,114.503,1.46834,1.4758,1.65868,0.31031,0.43571,0.26497,0.08539,2.32992,2.29187,3.29897,0.0019505,0.0019505,0.0019505
7,133.444,1.46533,1.35951,1.64343,0.26137,0.30714,0.18077,0.0502,2.36314,2.6728,3.05884,0.0019406,0.0019406,0.0019406
8,152.382,1.51357,1.3739,1.68136,0.63874,0.47143,0.47696,0.15704,2.06455,2.17696,2.70268,0.0019307,0.0019307,0.0019307
9,171.292,1.48165,1.26495,1.6391,0.46229,0.39286,0.29693,0.10292,2.57893,2.46567,3.12318,0.0019208,0.0019208,0.0019208
10,190.23,1.46075,1.27914,1.66025,0.69756,0.66429,0.7274,0.28186,2.02205,1.75835,2.59816,0.0019109,0.0019109,0.0019109
11,209.241,1.49192,1.22517,1.68811,0.56281,0.34286,0.42515,0.15536,2.34361,2.22706,2.78823,0.001901,0.001901,0.001901
12,228.122,1.4514,1.17855,1.62,0.56458,0.51429,0.51196,0.19633,2.29999,2.13502,2.81671,0.0018911,0.0018911,0.0018911
13,246.997,1.39794,1.10973,1.55309,0.28644,0.33571,0.18723,0.05636,2.78912,2.35574,3.37991,0.0018812,0.0018812,0.0018812
14,265.935,1.41417,1.17734,1.62757,0.27337,0.17857,0.12032,0.03867,2.59129,3.16818,3.29348,0.0018713,0.0018713,0.0018713
15,284.856,1.41028,1.14186,1.61327,0.31384,0.4,0.26691,0.08573,2.62986,2.25751,3.1415,0.0018614,0.0018614,0.0018614
16,303.739,1.41292,1.12568,1.62613,0.54366,0.45,0.44736,0.13871,2.35391,1.85512,2.92029,0.0018515,0.0018515,0.0018515
17,322.627,1.35261,1.06553,1.55603,0.75106,0.72143,0.78621,0.37761,1.84419,1.36551,2.3983,0.0018416,0.0018416,0.0018416
18,341.515,1.33369,1.01396,1.51684,0.54503,0.73589,0.65697,0.33994,1.85745,1.57703,2.38334,0.0018317,0.0018317,0.0018317
19,360.395,1.37302,1.02984,1.54584,0.49553,0.52624,0.47473,0.17829,2.42692,2.04603,3.10541,0.0018218,0.0018218,0.0018218
20,379.268,1.38489,1.02586,1.56844,0.38044,0.53571,0.36794,0.08983,2.77253,2.08102,4.06076,0.0018119,0.0018119,0.0018119
21,398.162,1.32088,0.97064,1.51995,0.49447,0.57143,0.53895,0.16898,2.1225,1.81046,2.61483,0.001802,0.001802,0.001802
22,417.057,1.30596,0.94458,1.49365,0.87186,0.77762,0.8697,0.4909,1.5262,1.08794,2.04746,0.0017921,0.0017921,0.0017921
23,435.977,1.27743,0.90604,1.50189,0.84186,0.81429,0.88372,0.48927,1.64792,1.07061,2.22464,0.0017822,0.0017822,0.0017822
24,454.877,1.31337,0.99941,1.54477,0.88985,0.75714,0.86712,0.44813,1.77708,1.10141,2.24465,0.0017723,0.0017723,0.0017723
25,473.818,1.32182,1.00199,1.51821,0.85249,0.74302,0.83663,0.33552,1.9046,1.34615,2.51539,0.0017624,0.0017624,0.0017624
26,492.7,1.30816,0.93428,1.51729,0.77771,0.85,0.86523,0.50836,1.65248,1.12294,2.16995,0.0017525,0.0017525,0.0017525
27,511.593,1.27064,0.90786,1.47749,0.86933,0.69286,0.81437,0.44409,1.69659,1.24095,2.23915,0.0017426,0.0017426,0.0017426
28,530.539,1.29591,0.8931,1.49979,0.7552,0.79326,0.82692,0.39003,1.84768,1.25486,2.42513,0.0017327,0.0017327,0.0017327
29,549.431,1.27425,0.91582,1.47736,0.9338,0.70535,0.85533,0.49097,1.63948,1.15766,2.13039,0.0017228,0.0017228,0.0017228
30,568.35,1.263,0.84619,1.4707,0.86877,0.82143,0.8901,0.48574,1.67114,1.12938,2.23238,0.0017129,0.0017129,0.0017129
31,587.266,1.29099,0.89435,1.48867,0.84001,0.75006,0.84908,0.43091,1.75721,1.07595,2.36759,0.001703,0.001703,0.001703
32,606.194,1.2008,0.86224,1.43676,0.77167,0.70714,0.78596,0.44034,1.71947,1.35979,2.17963,0.0016931,0.0016931,0.0016931
33,625.075,1.20466,0.84815,1.4569,0.93119,0.77334,0.88596,0.54606,1.56475,0.96327,2.11131,0.0016832,0.0016832,0.0016832
34,644.001,1.2326,0.85787,1.46157,0.73542,0.83571,0.82446,0.32173,1.92901,1.23286,2.55652,0.0016733,0.0016733,0.0016733
35,662.911,1.18568,0.81827,1.4079,0.84496,0.73967,0.84535,0.42988,1.72064,1.281,2.19658,0.0016634,0.0016634,0.0016634
36,681.812,1.18717,0.82357,1.42261,0.87177,0.75,0.85281,0.51376,1.56065,1.10649,2.06281,0.0016535,0.0016535,0.0016535
37,700.719,1.17428,0.79113,1.39919,0.72879,0.67179,0.69804,0.24396,2.15513,1.49597,2.59137,0.0016436,0.0016436,0.0016436
38,719.631,1.19152,0.83685,1.43023,0.76686,0.65714,0.70918,0.26118,2.27271,1.43197,2.97547,0.0016337,0.0016337,0.0016337
39,738.538,1.22796,0.82365,1.44885,0.76555,0.74286,0.77091,0.42484,1.72092,1.17958,2.23223,0.0016238,0.0016238,0.0016238
40,757.442,1.22292,0.82225,1.44806,0.89928,0.84286,0.88454,0.47203,1.7099,0.98067,2.19528,0.0016139,0.0016139,0.0016139
41,776.345,1.16941,0.79567,1.40731,0.87911,0.83108,0.91234,0.53767,1.47056,0.91967,2.03065,0.001604,0.001604,0.001604
42,795.241,1.18512,0.80809,1.42497,0.91025,0.80714,0.88521,0.50954,1.59513,0.98315,2.20489,0.0015941,0.0015941,0.0015941
43,814.147,1.18297,0.78753,1.43793,0.74873,0.74494,0.70766,0.30948,2.12126,1.34794,2.77194,0.0015842,0.0015842,0.0015842
44,833.04,1.13776,0.75933,1.38743,0.89967,0.85,0.87679,0.4427,1.83099,1.02476,2.40607,0.0015743,0.0015743,0.0015743
45,851.943,1.17921,0.79017,1.42253,0.84513,0.84286,0.88601,0.41119,1.84082,1.03434,2.37921,0.0015644,0.0015644,0.0015644
46,870.839,1.18236,0.81628,1.42069,0.85434,0.85,0.88851,0.49218,1.57706,1.00174,2.09424,0.0015545,0.0015545,0.0015545
47,889.765,1.16098,0.76626,1.40598,0.83975,0.83571,0.90236,0.55063,1.41056,0.86813,1.94667,0.0015446,0.0015446,0.0015446
48,908.657,1.11587,0.76839,1.37765,0.88531,0.82143,0.87853,0.5358,1.50262,1.04858,2.04816,0.0015347,0.0015347,0.0015347
49,927.549,1.13984,0.75188,1.40073,0.89562,0.88571,0.90152,0.55368,1.47416,0.90085,1.97078,0.0015248,0.0015248,0.0015248
50,946.458,1.12234,0.74348,1.36978,0.83832,0.85,0.8908,0.4827,1.63944,0.93616,2.16136,0.0015149,0.0015149,0.0015149
51,965.365,1.11822,0.73601,1.38373,0.87839,0.85714,0.92129,0.53985,1.47793,0.94974,2.08558,0.001505,0.001505,0.001505
52,984.269,1.13111,0.73435,1.37775,0.75611,0.85714,0.85873,0.50133,1.52462,1.07681,2.0997,0.0014951,0.0014951,0.0014951
53,1003.18,1.10962,0.75178,1.37109,0.83302,0.64286,0.76676,0.46721,1.5845,1.26197,2.06462,0.0014852,0.0014852,0.0014852
54,1022.06,1.14332,0.74822,1.3917,0.92247,0.80714,0.90207,0.49294,1.63834,0.94561,2.20548,0.0014753,0.0014753,0.0014753
55,1040.96,1.13589,0.73324,1.37761,0.43122,0.41429,0.26421,0.08192,3.07434,1.48875,4.58154,0.0014654,0.0014654,0.0014654
56,1059.9,1.09536,0.74805,1.36545,0.4759,0.65,0.5077,0.18928,2.49834,1.53293,3.39252,0.0014555,0.0014555,0.0014555
57,1078.83,1.12811,0.73921,1.39592,0.82278,0.75,0.75298,0.27923,2.10808,1.27955,2.69355,0.0014456,0.0014456,0.0014456
58,1097.73,1.12478,0.71396,1.37864,0.82433,0.81429,0.86838,0.49228,1.55508,1.06043,2.08268,0.0014357,0.0014357,0.0014357
59,1116.65,1.09308,0.72978,1.38162,0.67072,0.72857,0.71853,0.31418,1.92995,1.27364,2.41229,0.0014258,0.0014258,0.0014258
60,1135.55,1.09693,0.72746,1.35714,0.90776,0.84286,0.91494,0.50823,1.57183,0.93214,2.09843,0.0014159,0.0014159,0.0014159
61,1154.46,1.10515,0.71634,1.39879,0.89668,0.88571,0.92106,0.50113,1.55197,0.87697,2.16059,0.001406,0.001406,0.001406
62,1173.37,1.07461,0.70292,1.34885,0.73639,0.82857,0.80177,0.41661,1.70355,1.21384,2.23382,0.0013961,0.0013961,0.0013961
63,1192.25,1.0955,0.73807,1.35622,0.78427,0.88291,0.8924,0.53448,1.45505,0.90315,2.01757,0.0013862,0.0013862,0.0013862
64,1211.22,1.07054,0.68995,1.34284,0.74811,0.82857,0.83093,0.51405,1.51856,1.16674,2.02961,0.0013763,0.0013763,0.0013763
65,1230.19,1.06761,0.72396,1.35913,0.82891,0.79593,0.83895,0.47707,1.51577,1.09707,2.06859,0.0013664,0.0013664,0.0013664
66,1249.16,1.0755,0.69852,1.33522,0.83092,0.87755,0.91086,0.54448,1.54605,0.84467,2.14058,0.0013565,0.0013565,0.0013565
67,1268.07,1.08849,0.69635,1.35091,0.79649,0.82143,0.87343,0.50233,1.54777,0.97308,2.12384,0.0013466,0.0013466,0.0013466
68,1286.98,1.07547,0.71018,1.34071,0.87643,0.86429,0.90681,0.53238,1.55759,0.89275,2.14212,0.0013367,0.0013367,0.0013367
69,1305.9,1.1013,0.69127,1.37376,0.94428,0.79286,0.90031,0.55447,1.50157,0.92126,2.01113,0.0013268,0.0013268,0.0013268
70,1324.83,1.08963,0.72691,1.36774,0.87998,0.89034,0.92158,0.50417,1.52949,0.82206,2.02236,0.0013169,0.0013169,0.0013169
71,1343.76,1.07492,0.66075,1.34759,0.77998,0.73571,0.81601,0.4569,1.75303,1.06897,2.2757,0.001307,0.001307,0.001307
72,1362.71,1.04866,0.7008,1.34272,0.89464,0.78571,0.86155,0.5359,1.49406,1.06617,2.03422,0.0012971,0.0012971,0.0012971
73,1381.65,1.07655,0.67808,1.33096,0.89871,0.8,0.88113,0.5519,1.46812,0.85947,2.02215,0.0012872,0.0012872,0.0012872
74,1400.57,1.05317,0.68955,1.32406,0.91533,0.84939,0.906,0.5606,1.42616,0.88887,2.00267,0.0012773,0.0012773,0.0012773
75,1419.52,1.02554,0.65852,1.32288,0.89784,0.85714,0.91663,0.47413,1.57231,0.86065,2.17876,0.0012674,0.0012674,0.0012674
76,1438.45,1.02044,0.64966,1.31297,0.89732,0.87394,0.90073,0.53718,1.49353,0.81244,2.07718,0.0012575,0.0012575,0.0012575
77,1457.39,0.9929,0.62013,1.2967,0.88462,0.82149,0.88999,0.53367,1.46216,0.87156,2.02919,0.0012476,0.0012476,0.0012476
78,1476.32,1.02091,0.63088,1.30278,0.87829,0.82857,0.91717,0.53081,1.49325,0.89373,2.05251,0.0012377,0.0012377,0.0012377
79,1495.26,1.00832,0.63451,1.29279,0.87351,0.83856,0.89643,0.54881,1.46238,0.94576,1.98926,0.0012278,0.0012278,0.0012278
80,1514.21,1.01798,0.63194,1.31304,0.87327,0.85714,0.91427,0.533,1.56644,0.84829,2.10888,0.0012179,0.0012179,0.0012179
81,1533.15,1.02709,0.64453,1.31819,0.93683,0.84748,0.92734,0.57228,1.4782,0.75873,2.0665,0.001208,0.001208,0.001208
82,1552.1,1.00176,0.59608,1.30099,0.88686,0.85714,0.91607,0.56864,1.49893,0.88469,2.05323,0.0011981,0.0011981,0.0011981
83,1571.04,1.00878,0.62877,1.31371,0.89506,0.76429,0.87031,0.50795,1.51527,0.98035,2.05261,0.0011882,0.0011882,0.0011882
84,1589.97,0.99559,0.63451,1.30095,0.89896,0.83571,0.89889,0.53475,1.54286,0.88705,2.10686,0.0011783,0.0011783,0.0011783
85,1608.9,0.96859,0.62451,1.2823,0.83812,0.81359,0.84288,0.46023,1.66357,1.11157,2.24675,0.0011684,0.0011684,0.0011684
86,1627.83,0.96378,0.6302,1.28805,0.89249,0.85,0.90668,0.53714,1.57804,0.82841,2.11307,0.0011585,0.0011585,0.0011585
87,1646.74,0.96928,0.61332,1.27711,0.91273,0.82172,0.92379,0.57517,1.39731,0.84307,1.9409,0.0011486,0.0011486,0.0011486
88,1665.71,1.00023,0.62223,1.30927,0.87129,0.82202,0.90277,0.51282,1.5211,0.97885,2.06736,0.0011387,0.0011387,0.0011387
89,1684.62,1.02094,0.64858,1.31272,0.89483,0.87143,0.91488,0.53412,1.46326,0.80855,2.03654,0.0011288,0.0011288,0.0011288
90,1703.54,0.98321,0.60805,1.283,0.95813,0.81734,0.91887,0.53289,1.50133,0.82737,2.0607,0.0011189,0.0011189,0.0011189
91,1722.47,0.99341,0.64545,1.30121,0.86376,0.81518,0.88582,0.52061,1.54419,0.94101,2.11478,0.001109,0.001109,0.001109
92,1741.41,0.97557,0.62351,1.27956,0.90371,0.80448,0.8916,0.51215,1.59274,0.882,2.1386,0.0010991,0.0010991,0.0010991
93,1760.34,0.96787,0.60169,1.26086,0.90151,0.84991,0.90296,0.53534,1.58773,0.89052,2.08115,0.0010892,0.0010892,0.0010892
94,1779.28,0.99009,0.61944,1.29133,0.8711,0.84286,0.90275,0.54795,1.5351,0.88209,2.09646,0.0010793,0.0010793,0.0010793
95,1798.2,1.01655,0.63206,1.31789,0.85101,0.85679,0.91151,0.56313,1.50505,0.89098,2.08375,0.0010694,0.0010694,0.0010694
96,1817.12,1.01105,0.59818,1.31756,0.89121,0.81919,0.9118,0.55527,1.44961,0.90432,1.95725,0.0010595,0.0010595,0.0010595
97,1836.05,0.95436,0.57748,1.27129,0.91166,0.81429,0.91444,0.5878,1.42696,0.9818,1.94512,0.0010496,0.0010496,0.0010496
98,1855.93,0.94677,0.59166,1.24185,0.69214,0.87857,0.83909,0.53011,1.4312,0.98558,1.93166,0.0010397,0.0010397,0.0010397
99,1877.72,0.94664,0.58653,1.24759,0.87962,0.82857,0.90143,0.55525,1.43729,0.82807,2.04909,0.0010298,0.0010298,0.0010298
100,1899.47,0.98368,0.61037,1.29309,0.89272,0.85714,0.93693,0.56849,1.46516,0.79453,2.04231,0.0010199,0.0010199,0.0010199
101,1921.28,0.94144,0.57301,1.25867,0.89054,0.87143,0.91599,0.55531,1.47786,0.84951,2.06054,0.00101,0.00101,0.00101
102,1943.18,0.976,0.59502,1.28113,0.84487,0.85586,0.91177,0.55869,1.51403,0.88738,2.08235,0.0010001,0.0010001,0.0010001
103,1964.92,0.95064,0.58398,1.28856,0.90278,0.82857,0.91568,0.5443,1.50454,0.80848,2.10357,0.0009902,0.0009902,0.0009902
104,1986.68,0.95718,0.595,1.2626,0.91269,0.82137,0.8968,0.57113,1.39984,0.86739,1.95304,0.0009803,0.0009803,0.0009803
105,2008.57,0.94769,0.57605,1.26446,0.88958,0.79286,0.88395,0.55189,1.43721,0.9229,1.93373,0.0009704,0.0009704,0.0009704
106,2030.42,0.93915,0.56157,1.2586,0.91063,0.82143,0.91705,0.52986,1.54372,0.85738,2.10751,0.0009605,0.0009605,0.0009605
107,2052.22,0.91283,0.56384,1.25309,0.88175,0.85221,0.89687,0.49848,1.66881,0.91623,2.31618,0.0009506,0.0009506,0.0009506
108,2074.02,0.93244,0.57601,1.24347,0.78643,0.72143,0.71682,0.22581,2.24659,1.12166,2.99622,0.0009407,0.0009407,0.0009407
109,2095.82,0.88333,0.55948,1.2218,0.87293,0.83415,0.90077,0.53392,1.55836,0.79469,2.12797,0.0009308,0.0009308,0.0009308
110,2117.72,0.93053,0.56127,1.26501,0.9243,0.85714,0.92546,0.5153,1.57123,0.89621,2.10591,0.0009209,0.0009209,0.0009209
111,2139.47,0.91286,0.59326,1.26981,0.71296,0.72143,0.82115,0.46916,1.57397,1.233,2.09872,0.000911,0.000911,0.000911
112,2161.23,0.91788,0.57853,1.25072,0.80133,0.8355,0.87984,0.52841,1.47396,0.9961,2.03072,0.0009011,0.0009011,0.0009011
113,2182.98,0.9367,0.56518,1.25596,0.93514,0.8,0.91808,0.57483,1.41651,0.80025,1.99678,0.0008912,0.0008912,0.0008912
