epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.904,2.28487,3.73463,2.31904,0.03279,0.29231,0.17112,0.07172,2.16536,3.95194,2.37414,0.00015,0.00015,0.00015
2,736.667,2.07583,3.11138,2.11823,0.05924,0.29231,0.17003,0.07381,2.21514,3.927,2.45116,0.000303862,0.000303862,0.000303862
3,1097.35,2.03832,2.69264,2.09889,0.03494,0.4,0.18596,0.07328,2.32668,3.61484,2.6342,0.000451388,0.000451388,0.000451388
4,1460.88,2.00943,2.52667,2.1288,0.96107,0.15769,0.22316,0.09438,2.1747,3.27578,2.57533,0.000592578,0.000592578,0.000592578
5,1823.49,2.04732,2.43986,2.1024,0.63146,0.23317,0.33016,0.14338,2.11255,2.77348,2.39564,0.000727432,0.000727432,0.000727432
6,2184.75,1.86719,2.24516,1.99378,0.92742,0.13077,0.17647,0.0559,2.27681,3.49485,2.6666,0.00085595,0.00085595,0.00085595
7,2550.18,1.95979,2.30085,2.03323,0.70825,0.19615,0.17083,0.06036,2.20417,3.40501,2.56617,0.0008812,0.0008812,0.0008812
8,2913.47,1.89102,2.18763,1.97832,0.34173,0.36538,0.32804,0.12526,2.18383,2.82034,2.43999,0.0008614,0.0008614,0.0008614
9,3278.89,1.78632,2.05925,1.90132,0.36816,0.31923,0.27881,0.10244,2.02724,2.86916,2.36096,0.0008416,0.0008416,0.0008416
10,3639.91,1.83204,2.05555,1.9395,0.64639,0.41462,0.42933,0.20457,2.04697,2.26164,2.24304,0.0008218,0.0008218,0.0008218
11,4000.18,1.821,2.007,1.92624,0.25003,0.31591,0.24764,0.09782,2.21096,2.83242,2.44789,0.000802,0.000802,0.000802
12,4363.51,1.79864,2.04893,1.91026,0.49083,0.46071,0.37902,0.16614,2.00654,2.3779,2.28239,0.0007822,0.0007822,0.0007822
13,4726.85,1.77732,1.96704,1.87982,0.37431,0.52579,0.46442,0.19734,2.19432,2.48083,2.50795,0.0007624,0.0007624,0.0007624
14,5087.57,1.76375,1.81895,1.83602,0.41143,0.68077,0.51436,0.22162,1.99797,2.08006,2.22177,0.0007426,0.0007426,0.0007426
15,5449.67,1.69961,1.7635,1.81869,0.4835,0.67387,0.53442,0.24342,1.84848,1.87336,2.08113,0.0007228,0.0007228,0.0007228
16,5811.08,1.71382,1.75186,1.8144,0.49678,0.57692,0.57442,0.28283,1.86069,1.83884,2.0871,0.000703,0.000703,0.000703
17,6173.62,1.70757,1.75685,1.77515,0.52144,0.68845,0.58073,0.26811,1.9284,1.90172,2.12885,0.0006832,0.0006832,0.0006832
18,6535.44,1.70268,1.73258,1.82469,0.59603,0.57174,0.54259,0.23356,2.09897,1.9745,2.26,0.0006634,0.0006634,0.0006634
19,6897.11,1.63116,1.6615,1.74864,0.55762,0.69231,0.59164,0.2763,1.9115,1.87815,2.11597,0.0006436,0.0006436,0.0006436
20,7258.35,1.66391,1.66756,1.73599,0.63073,0.63255,0.60995,0.28888,1.85584,1.76772,2.06602,0.0006238,0.0006238,0.0006238
21,7622.79,1.6757,1.69071,1.77601,0.60783,0.64578,0.56104,0.2377,1.97754,2.00819,2.17513,0.000604,0.000604,0.000604
22,7985.65,1.56811,1.66162,1.71351,0.5598,0.73343,0.60809,0.29312,1.83593,1.67742,2.04251,0.0005842,0.0005842,0.0005842
23,8348.7,1.61282,1.67749,1.75423,0.59454,0.6325,0.63899,0.28874,1.88973,1.76923,2.10166,0.0005644,0.0005644,0.0005644
24,8711.3,1.58532,1.57319,1.71997,0.53179,0.76154,0.62401,0.29832,1.87305,1.69172,2.06469,0.0005446,0.0005446,0.0005446
25,9069.72,1.63255,1.60111,1.72309,0.62908,0.68803,0.60506,0.28698,1.87069,1.68642,2.06119,0.0005248,0.0005248,0.0005248
26,9426.36,1.59826,1.5763,1.66495,0.56583,0.75517,0.63703,0.28995,1.86466,1.65285,2.06488,0.000505,0.000505,0.000505
27,9785.17,1.49231,1.47552,1.61791,0.59686,0.7154,0.60981,0.29684,1.84259,1.58769,2.01656,0.0004852,0.0004852,0.0004852
28,10144.1,1.50861,1.47961,1.63305,0.60123,0.74611,0.62122,0.2859,1.88233,1.55236,2.04917,0.0004654,0.0004654,0.0004654
29,10507.4,1.57341,1.55608,1.70632,0.62425,0.67308,0.61241,0.29329,1.8356,1.56581,2.02776,0.0004456,0.0004456,0.0004456
30,10870,1.51148,1.4424,1.64379,0.59685,0.71267,0.63065,0.30256,1.78965,1.5572,2.06184,0.0004258,0.0004258,0.0004258
31,11230.7,1.51228,1.48213,1.64495,0.54085,0.79315,0.6093,0.30449,1.77407,1.63796,2.02176,0.000406,0.000406,0.000406
32,11592.9,1.48821,1.392,1.61419,0.58246,0.75468,0.61239,0.2826,1.83255,1.57599,2.00535,0.0003862,0.0003862,0.0003862
33,11952.1,1.5839,1.49849,1.66769,0.62185,0.80685,0.65302,0.31214,1.82282,1.51423,1.99439,0.0003664,0.0003664,0.0003664
34,12315,1.51176,1.4586,1.63882,0.62112,0.82188,0.65824,0.32293,1.78754,1.48132,2.01001,0.0003466,0.0003466,0.0003466
35,12675.4,1.44579,1.37989,1.60302,0.59519,0.84231,0.64499,0.29217,1.82866,1.52112,2.0607,0.0003268,0.0003268,0.0003268
36,13039,1.54093,1.46576,1.67074,0.59503,0.78759,0.63193,0.29535,1.80251,1.5214,2.01937,0.000307,0.000307,0.000307
37,13399.4,1.47112,1.39321,1.58208,0.58077,0.81419,0.59549,0.28262,1.80407,1.52077,1.98191,0.0002872,0.0002872,0.0002872
38,13757.5,1.38842,1.3417,1.55078,0.61062,0.82308,0.65247,0.31518,1.7939,1.43558,1.99357,0.0002674,0.0002674,0.0002674
39,14117.5,1.41862,1.34254,1.57333,0.61584,0.83462,0.67402,0.32367,1.77601,1.42474,1.9737,0.0002476,0.0002476,0.0002476
40,14476.6,1.52022,1.44214,1.65613,0.61894,0.79867,0.65437,0.31372,1.78577,1.4315,1.97946,0.0002278,0.0002278,0.0002278
41,14832.5,1.4503,1.38139,1.71326,0.60606,0.80769,0.65461,0.31245,1.81261,1.54314,2.01705,0.000208,0.000208,0.000208
42,15189.9,1.45137,1.40045,1.7314,0.61431,0.83228,0.64109,0.31276,1.7677,1.46052,1.98797,0.0001882,0.0001882,0.0001882
43,15544.4,1.42329,1.31687,1.69964,0.59198,0.83166,0.63013,0.315,1.77614,1.46706,1.97068,0.0001684,0.0001684,0.0001684
44,15897.5,1.37101,1.28857,1.65061,0.5975,0.83798,0.64179,0.3294,1.73177,1.43432,1.95039,0.0001486,0.0001486,0.0001486
45,16256,1.37911,1.27184,1.65444,0.62186,0.82579,0.65355,0.33122,1.73349,1.43822,1.96313,0.0001288,0.0001288,0.0001288
46,16611.6,1.3457,1.2529,1.64223,0.59123,0.84396,0.65811,0.33675,1.75733,1.42705,1.99015,0.000109,0.000109,0.000109
47,16965.3,1.3648,1.25096,1.65664,0.58715,0.85346,0.64474,0.33082,1.77171,1.4046,1.98665,8.92e-05,8.92e-05,8.92e-05
48,17319.4,1.35631,1.28995,1.63854,0.60262,0.81541,0.65262,0.32628,1.76369,1.40898,1.96907,6.94e-05,6.94e-05,6.94e-05
49,17672.5,1.32169,1.23559,1.65333,0.60094,0.83238,0.65437,0.32718,1.74724,1.39743,1.95795,4.96e-05,4.96e-05,4.96e-05
