epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,852.468,1.20295,0.84888,1.44395,0.87878,0.90972,0.92548,0.52753,1.59589,0.92427,2.0898,0.0015941,0.0015941,0.0015941
43,872.671,1.21905,0.83177,1.44125,0.83678,0.88889,0.89164,0.49549,1.61202,0.95633,2.06626,0.0015842,0.0015842,0.0015842
44,893.162,1.22607,0.87068,1.44982,0.90001,0.75005,0.87096,0.4853,1.56939,1.11338,2.03599,0.0015743,0.0015743,0.0015743
45,913.682,1.22737,0.8562,1.46191,0.87778,0.84789,0.90044,0.44897,1.75834,1.09888,2.1922,0.0015644,0.0015644,0.0015644
46,934.289,1.20721,0.84758,1.4446,0.88774,0.82377,0.9061,0.46847,1.67654,0.99389,2.16052,0.0015545,0.0015545,0.0015545
47,954.854,1.21483,0.83536,1.43741,0.92309,0.75011,0.90555,0.53951,1.55241,0.96401,2.01419,0.0015446,0.0015446,0.0015446
48,975.454,1.17571,0.81233,1.41274,0.8676,0.81914,0.86517,0.52087,1.49584,0.952,1.98873,0.0015347,0.0015347,0.0015347
49,996.083,1.18434,0.82927,1.43621,0.87972,0.73611,0.83576,0.43267,1.65157,1.12451,2.1992,0.0015248,0.0015248,0.0015248
50,1017.12,1.13968,0.81261,1.40381,0.72775,0.86111,0.86234,0.50861,1.4613,1.05796,2.00628,0.0015149,0.0015149,0.0015149
51,1038.43,1.1828,0.82068,1.41829,0.92138,0.71528,0.88884,0.5654,1.50119,1.005,1.99577,0.001505,0.001505,0.001505
52,1059.33,1.16128,0.78463,1.40873,0.87588,0.875,0.92755,0.53407,1.58598,0.91542,2.06168,0.0014951,0.0014951,0.0014951
53,1079.67,1.14665,0.7663,1.4197,0.82884,0.875,0.90016,0.53132,1.53389,0.89846,2.10134,0.0014852,0.0014852,0.0014852
54,1100.19,1.16909,0.80116,1.41859,0.76222,0.70833,0.78394,0.45695,1.56682,1.28691,2.04858,0.0014753,0.0014753,0.0014753
55,1120.5,1.18304,0.79306,1.42348,0.82532,0.84028,0.8954,0.53588,1.57354,1.03104,2.05375,0.0014654,0.0014654,0.0014654
56,1140.83,1.14585,0.79124,1.39353,0.86772,0.77083,0.8584,0.52518,1.50974,1.08185,1.99903,0.0014555,0.0014555,0.0014555
57,1161.45,1.17557,0.74793,1.42937,0.8568,0.80556,0.89996,0.51589,1.56621,0.89225,2.01482,0.0014456,0.0014456,0.0014456
58,1181.84,1.13488,0.77879,1.38246,0.86536,0.89271,0.9138,0.55047,1.524,0.86889,1.9943,0.0014357,0.0014357,0.0014357
59,1202.37,1.14485,0.79043,1.40843,0.84444,0.85417,0.89862,0.58112,1.41079,0.96035,1.92943,0.0014258,0.0014258,0.0014258
60,1222.87,1.12025,0.7638,1.38743,0.81578,0.84028,0.89843,0.52109,1.54366,0.97144,2.05654,0.0014159,0.0014159,0.0014159
61,1243.2,1.0909,0.75404,1.37337,0.78365,0.82639,0.88696,0.52152,1.50606,0.94017,2.00971,0.001406,0.001406,0.001406
62,1263.53,1.08456,0.73436,1.34476,0.88165,0.82776,0.89573,0.51105,1.60867,1.08294,2.1169,0.0013961,0.0013961,0.0013961
63,1283.87,1.09383,0.75368,1.35143,0.83286,0.81944,0.88051,0.55267,1.59038,1.04673,2.1117,0.0013862,0.0013862,0.0013862
64,1304.45,1.11311,0.75824,1.37879,0.80655,0.85417,0.88566,0.51555,1.53809,0.93196,2.07893,0.0013763,0.0013763,0.0013763
65,1325.57,1.08902,0.75674,1.37407,0.84577,0.87589,0.91351,0.57155,1.49073,0.91816,1.96651,0.0013664,0.0013664,0.0013664
66,1346.49,1.08792,0.75826,1.36193,0.7458,0.86111,0.87581,0.53654,1.53437,1.02452,2.02569,0.0013565,0.0013565,0.0013565
67,1367.11,1.11083,0.71222,1.3603,0.94124,0.77083,0.89427,0.5658,1.3951,1.08806,1.86584,0.0013466,0.0013466,0.0013466
68,1387.92,1.13186,0.73537,1.38467,0.82402,0.9105,0.93132,0.53541,1.5123,0.8569,2.0546,0.0013367,0.0013367,0.0013367
69,1408.49,1.11408,0.71149,1.38307,0.89201,0.86111,0.93856,0.54952,1.52802,0.86785,2.03323,0.0013268,0.0013268,0.0013268
70,1430.26,1.10766,0.74178,1.39504,0.92447,0.84994,0.93932,0.57706,1.40718,0.91858,1.96013,0.0013169,0.0013169,0.0013169
71,1454.96,1.09106,0.72948,1.37302,0.85794,0.88194,0.92144,0.55873,1.42121,0.90315,1.98333,0.001307,0.001307,0.001307
72,1479.45,1.1164,0.7196,1.39347,0.88254,0.88706,0.9293,0.58122,1.41632,0.86572,1.92565,0.0012971,0.0012971,0.0012971
73,1505.95,1.06953,0.70864,1.33841,0.85214,0.8805,0.93426,0.55727,1.46009,0.88691,1.99484,0.0012872,0.0012872,0.0012872
74,1530.7,1.05477,0.68032,1.33772,0.86966,0.83406,0.90624,0.58698,1.41992,0.97968,1.93369,0.0012773,0.0012773,0.0012773
75,1555.45,1.07335,0.72042,1.34154,0.94353,0.8122,0.91032,0.53619,1.58762,1.01035,2.19976,0.0012674,0.0012674,0.0012674
76,1580.33,1.03469,0.70294,1.31448,0.8547,0.91667,0.93791,0.56285,1.39879,0.8384,1.92599,0.0012575,0.0012575,0.0012575
77,1605.2,1.01344,0.67529,1.3156,0.86878,0.86111,0.92544,0.51808,1.57201,0.87756,2.08939,0.0012476,0.0012476,0.0012476
78,1630.14,1.04486,0.65056,1.32064,0.86571,0.89538,0.92644,0.54355,1.51152,0.84466,2.03853,0.0012377,0.0012377,0.0012377
79,1654.79,1.02193,0.66742,1.31379,0.93312,0.87203,0.93511,0.55589,1.4058,0.84356,1.96044,0.0012278,0.0012278,0.0012278
80,1679.41,1.03602,0.6546,1.31494,0.89921,0.86737,0.89985,0.53372,1.59786,0.97913,2.0721,0.0012179,0.0012179,0.0012179
81,1704.11,1.04842,0.6695,1.34901,0.87841,0.875,0.9229,0.53623,1.55924,0.85853,2.08576,0.001208,0.001208,0.001208
82,1729.48,1.02164,0.64062,1.32725,0.92976,0.82727,0.91727,0.53593,1.57446,0.86484,2.08725,0.0011981,0.0011981,0.0011981
83,1753.68,0.9853,0.63632,1.30147,0.87608,0.88889,0.91547,0.54344,1.59551,0.82241,2.12449,0.0011882,0.0011882,0.0011882
84,1778.01,0.97058,0.63681,1.29946,0.89896,0.875,0.93971,0.59494,1.43429,0.79946,1.95337,0.0011783,0.0011783,0.0011783
85,1802.3,1.00562,0.67753,1.29942,0.94308,0.80556,0.91999,0.58982,1.45067,0.90122,1.9775,0.0011684,0.0011684,0.0011684
86,1826.45,1.00256,0.67347,1.30032,0.87748,0.86111,0.92359,0.57758,1.40332,0.84116,1.96028,0.0011585,0.0011585,0.0011585
87,1850.89,1.00018,0.64107,1.30488,0.88833,0.88391,0.92852,0.57552,1.44272,0.86579,1.98322,0.0011486,0.0011486,0.0011486
88,1876.03,0.9996,0.63605,1.32465,0.91407,0.81256,0.92536,0.57897,1.44757,0.80993,1.99314,0.0011387,0.0011387,0.0011387
89,1900.77,1.00507,0.6416,1.29379,0.86677,0.92361,0.94093,0.59068,1.42689,0.84779,1.96959,0.0011288,0.0011288,0.0011288
90,1926.15,1.03664,0.63413,1.31846,0.90578,0.84722,0.92716,0.55361,1.47237,0.94752,1.97933,0.0011189,0.0011189,0.0011189
91,1950.99,0.97397,0.61483,1.27577,0.87327,0.86132,0.9365,0.57149,1.39137,0.91662,1.97983,0.001109,0.001109,0.001109
92,1975.16,0.98479,0.64289,1.27936,0.84106,0.88889,0.94079,0.57537,1.44424,0.80747,2.01903,0.0010991,0.0010991,0.0010991
93,1999.14,0.99314,0.64145,1.29224,0.7913,0.89583,0.91361,0.53805,1.51079,0.80269,2.08655,0.0010892,0.0010892,0.0010892
94,2023.26,0.97923,0.62129,1.27997,0.92578,0.79167,0.91788,0.57935,1.38137,0.87733,1.97217,0.0010793,0.0010793,0.0010793
95,2047.22,0.98654,0.62213,1.27072,0.86097,0.86111,0.92133,0.60635,1.33821,0.87687,1.89013,0.0010694,0.0010694,0.0010694
96,2071.31,0.97757,0.62995,1.2795,0.89536,0.8319,0.92267,0.59395,1.34038,0.91617,1.87261,0.0010595,0.0010595,0.0010595
97,2095.71,0.95792,0.60134,1.27485,0.93517,0.80142,0.92568,0.56832,1.48501,0.88753,1.99117,0.0010496,0.0010496,0.0010496
98,2120.61,0.96642,0.59935,1.27457,0.85342,0.84722,0.91569,0.53045,1.53609,0.90599,2.11217,0.0010397,0.0010397,0.0010397
99,2145.05,0.99585,0.62477,1.29679,0.87349,0.86309,0.91807,0.58005,1.46137,0.94116,2.007,0.0010298,0.0010298,0.0010298
100,2169.36,0.99866,0.63728,1.29917,0.88586,0.85417,0.93854,0.53024,1.57661,0.82766,2.14275,0.0010199,0.0010199,0.0010199
101,2194.35,1.00712,0.64447,1.30223,0.93081,0.84028,0.9326,0.58334,1.42966,0.79388,2.03627,0.00101,0.00101,0.00101
102,2218.74,0.96015,0.5943,1.26229,0.91679,0.85417,0.92671,0.5729,1.47461,0.87298,2.02867,0.0010001,0.0010001,0.0010001
103,2242.73,0.9798,0.5941,1.31435,0.88164,0.88194,0.93374,0.5966,1.41283,0.80525,1.97233,0.0009902,0.0009902,0.0009902
104,2266.8,0.94873,0.61226,1.25542,0.89172,0.86111,0.91728,0.5658,1.39761,0.83974,1.97422,0.0009803,0.0009803,0.0009803
105,2290.79,0.96439,0.61157,1.27226,0.86353,0.90278,0.92966,0.58681,1.36549,0.77751,1.92321,0.0009704,0.0009704,0.0009704
106,2314.81,0.94923,0.61246,1.26218,0.91042,0.8469,0.91694,0.59653,1.31332,0.87324,1.86943,0.0009605,0.0009605,0.0009605
107,2338.8,0.9475,0.58707,1.26323,0.92301,0.83333,0.89902,0.56895,1.44561,0.95597,2.03477,0.0009506,0.0009506,0.0009506
108,2362.88,0.93517,0.58406,1.26053,0.94367,0.75694,0.8951,0.54653,1.51849,0.88733,2.07029,0.0009407,0.0009407,0.0009407
109,2386.84,0.88353,0.57215,1.22372,0.78641,0.86932,0.90597,0.53978,1.55832,0.85744,2.183,0.0009308,0.0009308,0.0009308
110,2410.77,0.94022,0.599,1.26402,0.89336,0.84028,0.92015,0.59164,1.4496,0.92426,2.03405,0.0009209,0.0009209,0.0009209
111,2434.7,0.92904,0.58741,1.26277,0.86471,0.875,0.92613,0.58843,1.45182,0.79998,1.9997,0.000911,0.000911,0.000911
112,2459.01,0.93298,0.57638,1.26926,0.88145,0.875,0.93654,0.58676,1.48656,0.84077,2.01477,0.0009011,0.0009011,0.0009011
113,2482.98,0.94423,0.61003,1.25204,0.89952,0.83333,0.91811,0.5857,1.46899,0.97746,2.04584,0.0008912,0.0008912,0.0008912
